;day;first_seen;last_seen;temp-0000;cond-0000;temp-0100;cond-0100;temp-0200;cond-0200;temp-0300;cond-0300;temp-0400;cond-0400;temp-0500;cond-0500;temp-0600;cond-0600;temp-0700;cond-0700;temp-0800;cond-0800;mean_first_delay;mean_last_delay;abs_first_delay;abs_last_delay
0;2019-09-09;08:06:00;08:06:00;14,6;cloudy;14,4;rainy;14,1;rainy;13,2;rainy;13,1;rainy;13,3;rainy;13,4;rainy;13,6;rainy;13,6;rainy;-6,0;-24,0;0,0;0,0
1;2019-09-10;08:12:00;08:30:00;12,0;rainy;12,4;rainy;12,6;rainy;12,8;cloudy;12,9;cloudy;12,8;cloudy;12,8;rainy;13,4;cloudy;14,6;clear;0,0;0,0;6,0;24,0
2;2019-09-11;08:06:00;08:18:00;8,7;clear;7,9;clear;7,3;clear;6,7;clear;6,4;clear;6,4;clear;8,0;clear;11,1;clear;14,5;clear;-6,0;-12,0;0,0;12,0
3;2019-09-12;08:12:00;08:30:00;16,2;rainy;14,7;rainy;14,3;rainy;14,4;rainy;14,4;rainy;14,4;rainy;14,5;cloudy;15,2;cloudy;15,7;cloudy;0,0;0,0;6,0;24,0
4;2019-09-13;08:06:00;08:18:00;13,9;clear;13,6;clear;13,7;clear;14,0;cloudy;14,7;cloudy;15,6;cloudy;16,3;cloudy;17,5;cloudy;18,8;cloudy;-6,0;-12,0;0,0;12,0
5;2019-09-14;08:12:00;08:30:00;9,7;clear;8,8;clear;8,3;clear;8,1;clear;7,3;clear;7,8;clear;8,8;clear;10,6;clear;13,2;clear;0,0;0,0;6,0;24,0
6;2019-09-15;08:24:00;08:42:00;8,3;clear;7,9;cloudy;8,0;cloudy;7,2;cloudy;7,0;cloudy;6,8;cloudy;8,7;cloudy;12,5;cloudy;15,7;cloudy;12,0;12,0;18,0;36,0
7;2019-09-16;08:12:00;08:30:00;14,3;cloudy;13,8;cloudy;13,9;cloudy;13,6;cloudy;13,3;cloudy;13,0;cloudy;13,0;rainy;13,4;rainy;13,4;rainy;0,0;0,0;6,0;24,0
8;2019-09-17;08:06:00;08:18:00;12,3;cloudy;12,3;rainy;12,0;rainy;11,6;cloudy;11,5;cloudy;11,3;cloudy;11,5;cloudy;11,6;cloudy;12,3;cloudy;-6,0;-12,0;0,0;12,0
9;2019-09-18;08:12:00;08:30:00;8,9;clear;8,3;clear;8,0;clear;7,7;clear;7,5;clear;7,4;clear;7,8;clear;9,5;clear;11,2;clear;0,0;0,0;6,0;24,0
10;2019-09-19;08:12:00;08:30:00;8,8;clear;8,0;clear;7,7;clear;7,5;clear;7,2;clear;6,8;clear;7,2;clear;8,4;cloudy;10,2;clear;0,0;0,0;6,0;24,0
11;2019-09-20;08:12:00;08:18:00;6,0;cloudy;4,9;cloudy;4,7;clear;4,1;clear;5,9;cloudy;6,2;cloudy;6,4;cloudy;8,3;cloudy;10,4;cloudy;0,0;-12,0;6,0;12,0
12;2019-09-21;08:12:00;08:30:00;8,4;clear;7,3;clear;6,8;clear;6,4;clear;5,9;clear;5,2;clear;5,7;cloudy;9,5;clear;13,2;clear;0,0;0,0;6,0;24,0
13;2019-09-22;08:06:00;08:18:00;7,9;clear;7,7;clear;7,4;clear;6,8;clear;7,1;clear;6,9;clear;7,0;clear;10,4;clear;15,2;clear;-6,0;-12,0;0,0;12,0
14;2019-09-23;08:12:00;08:30:00;10,0;clear;9,8;clear;9,3;clear;8,8;clear;8,7;clear;8,0;clear;8,1;clear;10,9;clear;13,9;clear;0,0;0,0;6,0;24,0
15;2019-09-24;08:12:00;08:30:00;14,9;cloudy;13,9;cloudy;13,1;cloudy;12,5;cloudy;12,8;cloudy;13,2;cloudy;13,4;cloudy;13,8;rainy;14,4;rainy;0,0;0,0;6,0;24,0
16;2019-09-25;08:12:00;08:30:00;13,0;cloudy;13,5;cloudy;13,1;cloudy;12,9;cloudy;12,7;cloudy;12,5;cloudy;12,7;cloudy;13,6;rainy;13,9;rainy;0,0;0,0;6,0;24,0
17;2019-09-26;08:06:00;08:18:00;10,2;clear;9,8;clear;10,2;clear;10,2;clear;9,0;clear;8,4;clear;8,7;clear;10,8;clear;13,1;clear;-6,0;-12,0;0,0;12,0
18;2019-09-27;08:12:00;08:30:00;15,2;rainy;15,1;cloudy;15,3;rainy;15,4;rainy;15,7;cloudy;15,7;rainy;15,6;rainy;15,7;rainy;15,9;rainy;0,0;0,0;6,0;24,0
19;2019-09-28;08:12:00;08:30:00;11,2;clear;11,1;clear;11,1;cloudy;11,5;cloudy;11,6;rainy;11,5;cloudy;12,0;rainy;12,5;rainy;13,6;rainy;0,0;0,0;6,0;24,0
20;2019-09-29;08:12:00;08:30:00;13,2;cloudy;12,9;clear;12,5;clear;12,5;clear;12,4;clear;12,0;clear;11,8;cloudy;13,7;cloudy;14,2;rainy;0,0;0,0;6,0;24,0
21;2019-10-01;08:12:00;08:30:00;10,3;clear;10,3;cloudy;10,4;cloudy;10,7;cloudy;11,0;rainy;10,7;rainy;10,8;rainy;11,0;rainy;11,7;rainy;0,0;0,0;6,0;24,0
22;2019-10-02;08:06:00;08:18:00;13,1;rainy;12,8;rainy;12,6;cloudy;12,0;rainy;9,5;rainy;7,9;rainy;7,8;rainy;8,1;rainy;8,7;rainy;-6,0;-12,0;0,0;12,0
23;2019-10-03;08:06:00;08:18:00;7,6;rainy;7,5;rainy;8,1;rainy;8,7;rainy;8,6;rainy;8,4;rainy;8,3;rainy;8,3;rainy;8,7;rainy;-6,0;-12,0;0,0;12,0
24;2019-10-04;08:12:00;08:30:00;7,8;cloudy;7,7;cloudy;6,6;clear;5,6;clear;4,5;clear;4,2;cloudy;4,7;cloudy;6,4;cloudy;8,7;cloudy;0,0;0,0;6,0;24,0
25;2019-10-05;08:12:00;08:30:00;8,2;rainy;8,2;rainy;8,4;rainy;8,4;rainy;8,3;rainy;8,1;rainy;7,7;rainy;7,6;rainy;8,2;rainy;0,0;0,0;6,0;24,0
26;2019-10-06;08:24:00;08:42:00;4,4;clear;3,7;clear;3,3;clear;3,6;clear;2,9;clear;3,4;clear;2,6;clear;4,2;clear;6,6;clear;12,0;12,0;18,0;36,0
27;2019-10-07;08:12:00;08:30:00;1,5;clear;1,4;clear;1,0;clear;0,8;clear;0,7;clear;0,3;cloudy;0,2;clear;1,6;clear;5,5;clear;0,0;0,0;6,0;24,0
28;2019-10-08;08:06:00;08:18:00;3,7;cloudy;4,2;cloudy;5,6;cloudy;5,5;cloudy;6,2;cloudy;6,7;cloudy;7,2;cloudy;8,2;rainy;8,6;rainy;-6,0;-12,0;0,0;12,0
29;2019-10-09;08:12:00;08:30:00;11,3;clear;10,8;clear;10,0;clear;8,8;clear;9,7;clear;9,8;clear;9,5;clear;10,1;clear;11,3;clear;0,0;0,0;6,0;24,0
30;2019-10-10;08:12:00;08:30:00;10,0;rainy;10,0;cloudy;9,9;rainy;9,9;rainy;9,6;rainy;9,2;cloudy;9,2;cloudy;9,4;clear;11,2;clear;0,0;0,0;6,0;24,0
31;2019-10-11;08:12:00;08:18:00;8,8;clear;9,4;clear;9,6;cloudy;9,8;cloudy;9,7;cloudy;10,4;cloudy;11,1;cloudy;11,5;cloudy;12,4;cloudy;0,0;-12,0;6,0;12,0
32;2019-10-12;08:12:00;08:30:00;14,9;cloudy;15,1;cloudy;14,7;clear;14,7;cloudy;14,3;cloudy;15,0;clear;14,3;clear;14,7;clear;16,3;clear;0,0;0,0;6,0;24,0
33;2019-10-13;08:24:00;08:42:00;16,0;cloudy;16,2;cloudy;15,9;cloudy;14,2;clear;13,1;clear;12,4;clear;12,4;cloudy;13,1;clear;17,3;cloudy;12,0;12,0;18,0;36,0
34;2019-10-14;08:12:00;08:30:00;17,8;cloudy;17,3;cloudy;16,6;clear;15,8;clear;15,3;clear;14,6;clear;14,2;clear;15,2;clear;18,0;clear;0,0;0,0;6,0;24,0
35;2019-10-15;08:12:00;08:30:00;13,3;clear;12,6;clear;12,1;clear;11,6;clear;11,2;clear;11,1;cloudy;11,7;cloudy;12,7;cloudy;14,7;cloudy;0,0;0,0;6,0;24,0
36;2019-10-16;08:12:00;08:30:00;10,3;clear;10,2;clear;9,8;clear;9,5;clear;10,2;cloudy;11,5;cloudy;13,9;cloudy;14,0;rainy;13,6;rainy;0,0;0,0;6,0;24,0
37;2019-10-17;08:12:00;08:30:00;11,3;cloudy;11,6;cloudy;11,8;cloudy;12,0;cloudy;11,8;cloudy;11,7;cloudy;12,0;cloudy;12,7;cloudy;14,1;cloudy;0,0;0,0;6,0;24,0
38;2019-10-18;08:12:00;08:30:00;12,5;cloudy;12,6;rainy;12,2;rainy;12,4;rainy;12,5;cloudy;12,4;clear;11,6;clear;11,8;clear;14,5;clear;0,0;0,0;6,0;24,0
39;2019-10-19;08:12:00;08:30:00;8,4;cloudy;7,7;cloudy;7,7;cloudy;8,3;cloudy;8,4;cloudy;8,3;cloudy;9,0;cloudy;9,5;cloudy;10,5;cloudy;0,0;0,0;6,0;24,0
40;2019-10-20;08:24:00;08:42:00;11,3;cloudy;10,8;cloudy;10,2;cloudy;10,9;cloudy;11,6;rainy;11,3;cloudy;11,5;cloudy;12,0;cloudy;13,2;cloudy;12,0;12,0;18,0;36,0
41;2019-10-21;08:12:00;08:30:00;12,6;cloudy;12,7;cloudy;12,7;cloudy;12,5;cloudy;11,8;cloudy;10,7;clear;10,0;cloudy;10,8;cloudy;12,2;cloudy;0,0;0,0;6,0;24,0
42;2019-10-22;08:12:00;08:30:00;11,9;clear;11,4;clear;10,8;clear;11,0;clear;10,4;cloudy;10,0;clear;9,3;clear;10,1;clear;12,7;cloudy;0,0;0,0;6,0;24,0
43;2019-10-23;08:12:00;08:30:00;7,3;clear;7,1;cloudy;6,9;clear;7,2;clear;6,8;cloudy;6,8;clear;6,9;cloudy;8,2;clear;10,0;cloudy;0,0;0,0;6,0;24,0
44;2019-10-24;08:12:00;08:30:00;12,5;cloudy;12,6;cloudy;12,4;cloudy;12,5;rainy;12,7;rainy;12,8;rainy;12,8;rainy;13,0;rainy;13,3;rainy;0,0;0,0;6,0;24,0
45;2019-10-25;08:06:00;08:18:00;10,9;clear;10,9;cloudy;11,4;cloudy;11,9;cloudy;12,4;cloudy;12,3;rainy;12,5;cloudy;12,4;clear;14,2;clear;-6,0;-12,0;0,0;12,0
46;2019-10-26;08:12:00;08:30:00;10,9;cloudy;10,8;cloudy;10,0;cloudy;10,2;cloudy;10,6;cloudy;10,4;cloudy;10,2;cloudy;11,0;cloudy;12,4;cloudy;0,0;0,0;6,0;24,0
47;2019-10-27;08:24:00;08:42:00;13,1;cloudy;13,6;cloudy;14,2;cloudy;15,4;cloudy;15,4;cloudy;15,8;cloudy;15,9;cloudy;16,4;cloudy;15,3;rainy;12,0;12,0;18,0;36,0
48;2019-10-28;08:12:00;08:30:00;7,2;clear;7,2;clear;6,6;clear;6,3;clear;5,5;clear;5,5;clear;5,8;clear;6,3;clear;7,5;clear;0,0;0,0;6,0;24,0
49;2019-10-29;08:12:00;08:30:00;5,1;clear;4,8;cloudy;4,2;cloudy;3,4;clear;2,9;cloudy;3,2;cloudy;3,5;cloudy;3,4;cloudy;3,8;cloudy;0,0;0,0;6,0;24,0
50;2019-10-30;08:06:00;08:24:00;0,1;clear;-0,6;clear;-0,3;clear;-0,3;clear;-0,7;clear;-1,3;clear;-1,6;clear;-1,0;clear;1,9;clear;-6,0;-6,0;0,0;18,0
51;2019-10-31;08:12:00;08:30:00;-1,5;clear;-1,6;clear;-1,8;clear;-2,2;clear;-2,3;clear;-2,6;clear;-2,4;clear;-1,4;cloudy;0,4;cloudy;0,0;0,0;6,0;24,0
52;2019-11-01;08:12:00;08:30:00;-2,1;clear;-2,1;clear;-2,2;clear;-2,4;clear;-1,6;clear;-2,1;clear;-2,1;clear;-0,9;clear;1,1;cloudy;0,0;0,0;6,0;24,0
53;2019-11-02;08:12:00;08:30:00;6,4;rainy;6,8;rainy;7,0;rainy;6,9;rainy;7,3;cloudy;7,1;rainy;7,2;rainy;7,8;rainy;8,9;rainy;0,0;0,0;6,0;24,0
54;2019-11-03;08:06:00;08:18:00;10,8;cloudy;10,9;cloudy;11,5;cloudy;10,9;cloudy;11,4;cloudy;12,6;rainy;12,0;rainy;11,5;rainy;11,5;rainy;-6,0;-12,0;0,0;12,0
55;2019-11-04;08:12:00;08:30:00;8,5;cloudy;8,0;cloudy;8,2;cloudy;8,7;rainy;8,8;rainy;8,9;rainy;9,1;rainy;9,7;rainy;10,3;rainy;0,0;0,0;6,0;24,0
56;2019-11-05;08:12:00;08:30:00;8,7;cloudy;8,4;cloudy;8,7;cloudy;8,9;cloudy;8,8;cloudy;8,1;cloudy;7,2;cloudy;7,9;cloudy;8,7;rainy;0,0;0,0;6,0;24,0
57;2019-11-06;08:12:00;08:30:00;8,5;rainy;8,6;rainy;8,6;rainy;8,3;rainy;8,0;rainy;7,9;rainy;7,7;rainy;7,5;rainy;7,7;rainy;0,0;0,0;6,0;24,0
58;2019-11-07;08:12:00;08:30:00;5,5;cloudy;5,9;cloudy;6,0;rainy;5,9;rainy;6,0;cloudy;6,1;cloudy;6,5;cloudy;6,8;cloudy;7,1;cloudy;0,0;0,0;6,0;24,0
59;2019-11-08;08:12:00;08:30:00;7,1;cloudy;6,2;cloudy;5,4;cloudy;4,4;clear;3,7;cloudy;3,6;clear;3,2;cloudy;3,2;cloudy;4,9;cloudy;0,0;0,0;6,0;24,0
60;2019-11-09;08:12:00;08:30:00;7,5;rainy;7,5;rainy;7,5;cloudy;7,5;rainy;7,3;rainy;7,3;rainy;7,3;rainy;7,3;rainy;7,4;rainy;0,0;0,0;6,0;24,0
61;2019-11-10;08:24:00;08:42:00;4,5;cloudy;4,7;cloudy;4,7;cloudy;4,0;cloudy;2,6;clear;2,0;clear;2,2;clear;2,4;clear;2,5;clear;12,0;12,0;18,0;36,0
62;2019-11-11;08:12:00;08:30:00;2,4;clear;1,6;clear;1,1;clear;1,0;clear;1,0;clear;0,9;clear;0,6;clear;0,4;clear;0,7;cloudy;0,0;0,0;6,0;24,0
